Year,MO,DY,T,H,P,
1982,3,28,7.11,5.55,14.04,
1982,3,29,5.01,5.07,16.02,
1982,3,30,5.51,5.37,38.8,
1982,3,31,5.86,5.43,26.09,
1982,4,1,4.95,4.94,10.08,
1982,4,2,5.73,5.62,29.82,
1982,4,3,8.3,6.04,8.61,
1982,4,4,6.77,5,12.84,
1982,4,5,6.05,5.19,4.25,
1982,4,6,4.57,4.39,1.4,
1982,4,7,5.8,4.58,0.7,
1982,4,8,8.65,4.94,0.65,
1982,4,9,9.86,5.62,0.02,
1982,4,10,13.32,9.09,58.95,
1982,4,11,13.08,8.36,32.2,
1982,4,12,10.17,6.77,7.78,
1982,4,13,10.42,7.14,7.45,
1982,4,14,10.48,6.59,3.56,
1982,4,15,8.48,4.94,0,
1982,4,16,10.92,5.55,0,
1982,4,17,13.12,6.84,0,
1982,4,18,11.98,6.53,0,
1982,4,19,13.85,6.65,0,
1982,4,20,13.83,6.23,0,
1982,4,21,15.45,6.71,0,
1982,4,22,15.75,7.02,0,
1982,4,23,16.64,8.85,0,
1982,4,24,15.54,8.3,0,
1982,4,25,14.19,8.24,0,
1982,4,26,14.83,7.87,0,
1982,4,27,17.25,8.12,0,
1982,4,28,15.23,7.87,0,
1982,4,29,16.65,7.51,0,
1982,4,30,17,9.34,0,
1982,5,1,15.19,8.3,0,
1982,5,2,18.52,8.42,0,
1982,5,3,17.35,9.09,0.02,
1982,5,4,17.87,8.06,0,
1982,5,5,17.58,8.42,0,
1982,5,6,20.9,8.73,0,
1982,5,7,19.55,9.52,0.01,
1982,5,8,15.54,7.63,0.07,
1982,5,9,13.9,5.92,1.38,
1982,5,10,13.24,6.84,0.82,
1982,5,11,15.05,6.84,0,
1982,5,12,17.1,7.93,0,
1982,5,13,16.71,9.03,0,
1982,5,14,17.29,9.16,0.25,
1982,5,15,18.73,8.97,0,
1982,5,16,21.33,9.83,0.02,
1982,5,17,18.34,8.42,0.38,
1982,5,18,16.06,7.69,0,
1982,5,19,18.56,7.87,0,
1982,5,20,18.41,9.52,0,
1982,5,21,20.01,9.89,0,
1982,5,22,21.41,11.6,0,
1982,5,23,23.84,11.54,0,
1982,5,24,24.87,11.54,0,
1982,5,25,22.55,12.7,0,
1982,5,26,19.15,10.8,0,
1982,5,27,18.15,8.06,0,
1982,5,28,16.76,7.45,0,
1982,5,29,16.18,8.12,0.13,
1982,5,30,18.17,8.67,0,
1982,5,31,15.77,7.93,0,
1982,6,1,16.21,8.06,0,
1982,6,2,17.18,7.93,0,
1982,6,3,16.09,7.32,0.36,
1982,6,4,14.54,6.59,0.76,
1982,6,5,15.33,6.1,0,
1982,6,6,17.12,7.08,0,
1982,6,7,16.9,7.63,0,
1982,6,8,21.65,7.45,0.02,
1982,6,9,22,7.81,0,
1982,6,10,22.05,9.28,0.01,
1982,6,11,18.37,8.91,0.06,
1982,6,12,19.19,8.61,0.43,
1982,6,13,21.73,8.42,0.12,
1982,6,14,24.44,9.58,0,
1982,6,15,26.15,10.44,0,
1982,6,16,27.14,10.68,0.03,
1982,6,17,27.48,10.56,0.38,
1982,6,18,22.3,9.95,4.65,
1982,6,19,23.61,10.74,0.19,
1982,6,20,24.26,10.19,0.2,
1982,6,21,24.75,9.7,0.14,
1982,6,22,25.07,10.19,0,
1982,6,23,24.45,9.34,0,
1982,6,24,23.13,8.61,0.01,
1982,6,25,22.33,8.48,0,
1982,6,26,23.62,10.19,0.33,
1982,6,27,21.75,8.48,1.67,
1982,6,28,18.45,9.64,12.21,
1982,6,29,18.12,8.42,3.62,
1982,6,30,21.31,8.73,2.01,
1982,7,1,19.55,8.97,1.41,
1982,7,2,21.03,8.61,1.17,
1982,7,3,18.34,6.59,0,
1982,7,4,20.49,5.74,0,
1982,7,5,22.95,7.14,0,
1982,7,6,24.9,7.75,0,
1982,7,7,22.98,7.26,0,
1982,7,8,23.52,6.41,0,
1982,7,9,25.58,7.02,0,
1982,7,10,28.26,8.12,0,
1982,7,11,29.64,8.48,0,
1982,7,12,29.23,9.7,0,
1982,7,13,29.78,8.97,0,
1982,7,14,30.12,7.32,0,
1982,7,15,28.44,6.59,0,
1982,7,16,24.04,6.1,0,
1982,7,17,23.13,6.47,0,
1982,7,18,25.81,6.35,0,
1982,7,19,26.92,6.16,0,
1982,7,20,26.44,6.16,0,
1982,7,21,27.03,6.47,0,
1982,7,22,28.12,5.98,0,
1982,7,23,26.81,6.1,0,
1982,7,24,25.58,5.86,0,
1982,7,25,26.07,6.23,0,
1982,7,26,27.58,6.23,0,
1982,7,27,28.76,6.1,0,
1982,7,28,29.94,6.71,0,
1982,7,29,31.56,6.41,0,
1982,7,30,30.61,6.1,0,
1982,7,31,30.09,5.68,0,
1982,8,1,26.33,4.7,0,
1982,8,2,25.55,4.88,0,
1982,8,3,22.77,6.29,0,
1982,8,4,23.79,6.16,0,
1982,8,5,26.03,6.23,0,
1982,8,6,29.98,5,0,
1982,8,7,29.93,5.55,0.53,
1982,8,8,28.85,5.55,0.04,
1982,8,9,27.3,5.62,0,
1982,8,10,25.95,6.65,0,
1982,8,11,24.58,6.71,0,
1982,8,12,27.3,5.07,0,
1982,8,13,25.91,5.43,0,
1982,8,14,23.63,5.55,0,
1982,8,15,25.4,5.74,0,
1982,8,16,27.83,5.07,0,
1982,8,17,29.26,5.37,0,
1982,8,18,28.74,5.49,0.01,
1982,8,19,27.67,5.74,0.06,
1982,8,20,29.87,5.92,0.01,
1982,8,21,32.26,5.92,0.01,
1982,8,22,32.55,5.31,0,
1982,8,23,29.47,5.86,0.02,
1982,8,24,29.74,5.86,0,
1982,8,25,28.83,5.43,0,
1982,8,26,26.85,5.55,0,
1982,8,27,23.76,5.13,0,
1982,8,28,25.36,7.87,0.62,
1982,8,29,24.69,7.14,0.1,
1982,8,30,24.57,4.7,0.12,
1982,8,31,26.03,3.78,0,
1982,9,1,27.54,2.75,0,
1982,9,2,30.12,3.23,0,
1982,9,3,27.81,4.46,0.01,
1982,9,4,27.33,4.58,0,
1982,9,5,28.51,3.05,0,
1982,9,6,26.34,3.54,0,
1982,9,7,29.49,3.97,0,
1982,9,8,28.83,4.64,0,
1982,9,9,25.99,6.29,0,
1982,9,10,25.5,4.27,0,
1982,9,11,25.11,2.5,0,
1982,9,12,26.45,5.19,0,
1982,9,13,24.84,4.33,0,
1982,9,14,22.15,3.23,0.07,
1982,9,15,18.47,6.53,5.54,
1982,9,16,18.64,7.14,5.94,
1982,9,17,18.14,8.42,7.27,
1982,9,18,18.23,8.06,6.8,
1982,9,19,18.77,6.29,1.4,
1982,9,20,20.44,5.68,0,
1982,9,21,21.83,5,0,
1982,9,22,23.64,5,0,
1982,9,23,22.17,6.35,3.73,
1982,9,24,21.17,10.62,8.88,
1982,9,25,19.62,8.36,3.73,
1982,9,26,18.19,5.92,0.07,
1982,9,27,18.51,5.37,0.02,
1982,9,28,17.98,5.31,0.02,
1982,9,29,16.38,4.21,0.07,
1982,9,30,17.45,4.46,0,
1982,10,1,17.86,4.27,0,
1982,10,2,19.04,4.52,0,
1982,10,3,19.2,5.07,0,
1982,10,4,16.99,5,0,
1982,10,5,18.05,4.27,0,
1982,10,6,14.84,6.1,6.36,
1982,10,7,13.9,4.39,0.01,
1982,10,8,16.39,4.27,0,
1982,10,9,19.23,4.39,0,
1982,10,10,19.48,3.6,0,
1982,10,11,19.57,3.85,0,
1982,10,12,19.94,4.64,0,
1982,10,13,21.03,5,0,
1982,10,14,20.49,5.31,0.02,
1982,10,15,20.81,4.94,0,
1982,10,16,19.47,4.88,0.01,
1982,10,17,17.3,5.49,0,
1982,10,18,17.4,3.72,0,
1982,10,19,17.15,4.03,0.29,
1982,10,20,17.11,6.35,1.66,
1982,10,21,16.4,8.42,9.75,
1982,10,22,18.04,7.93,6.88,
1982,10,23,17.32,9.64,5.98,
1982,10,24,16.63,9.4,21.86,
1982,10,25,16.15,10.44,41.63,
1982,10,26,12.3,6.35,2.65,
1982,10,27,12.13,4.39,0,
1982,10,28,11.7,4.52,2.78,
1982,10,29,10.75,6.47,27.73,
1982,10,30,12.55,6.96,6.16,
1982,10,31,12.59,4.88,0,
1982,11,1,12.76,4.94,0.59,
1982,11,2,13.47,4.27,0,
1982,11,3,14.77,4.03,0,
1982,11,4,14.48,4.15,0,
1982,11,5,14.69,4.76,0,
1982,11,6,12.6,5.13,0.06,
1982,11,7,10.25,4.58,0.18,
1982,11,8,7.17,5.43,2.96,
1982,11,9,8.8,4.64,2.78,
1982,11,10,7.55,4.76,2.22,
1982,11,11,7.94,4.15,0,
1982,11,12,8.2,3.85,0.05,
1982,11,13,9.06,3.66,0,
1982,11,14,9.21,3.42,0,
1982,11,15,10.37,3.54,0.04,
1982,11,16,9.15,3.91,1.09,
1982,11,17,7.64,6.1,43.32,
1982,11,18,10.33,7.39,35.64,
1982,11,19,9.08,6.23,1.58,
1982,11,20,7.4,5.43,0.77,
1982,11,21,7.86,4.82,6.81,
1982,11,22,6.9,5.62,16.58,
1982,11,23,10.49,6.41,0.34,
1982,11,24,8.23,4.76,0,
1982,11,25,8.35,4.7,0.03,
1982,11,26,9.12,5.43,4.57,
1982,11,27,8.38,6.16,13.94,
1982,11,28,9.21,7.08,33.58,
1982,11,29,8.28,6.71,21.14,
1982,11,30,7.63,6.16,11.52,
1982,12,1,5.89,4.94,1.22,
1982,12,2,4.05,4.52,1.1,
1982,12,3,9.01,6.1,0.05,
1982,12,4,10.83,6.65,0.05,
1982,12,5,11.29,6.77,0.25,
1982,12,6,9.65,6.04,0.14,
1982,12,7,5.69,3.97,0,
1982,12,8,6.69,4.03,0,
1982,12,9,8.59,5.55,0,
1982,12,10,8.53,5.43,0,
1982,12,11,9.19,5.68,0.08,
1982,12,12,8.63,5.92,7.39,
1982,12,13,6.79,5.13,0.3,
1982,12,14,5.64,4.76,1.29,
1982,12,15,7,4.94,3.39,
1982,12,16,9.36,6.35,12.38,
1982,12,17,9.22,6.71,2.5,
1982,12,18,7.56,4.88,0.03,
1982,12,19,9.45,5,8.36,
1982,12,20,8.02,6.23,44.59,
1982,12,21,8.41,6.84,43.65,
1982,12,22,7.98,6.53,22.49,
1982,12,23,4.97,4.52,0.39,
1982,12,24,2.36,3.42,0.01,
1982,12,25,3.88,3.72,0.51,
1982,12,26,7.52,4.58,0.62,
1982,12,27,6.97,5.07,0.41,
1982,12,28,2.86,3.42,0.53,
1982,12,29,2.82,3.42,0,
1982,12,30,3.34,3.54,0,
1982,12,31,3,3.3,0,
1983,1,1,4.12,3.42,0,
1983,1,2,5.42,3.78,0.05,
1983,1,3,8.28,4.39,0.01,
