Year,T,H,P
1982,18.34,5,0
1982,17.13,5.8,0
1982,16.68,5.19,0
1982,17.36,4.64,0
1982,19.61,4.33,0.03
1982,21.06,4.64,0
1982,21.98,3.78,0
1982,19.08,2.14,0
1982,15.53,1.77,0
1982,18.51,3.3,0
1982,20.77,4.09,0
1982,20.84,4.64,0
1982,21.17,4.94,0
1982,22.15,5.92,0
1982,22.73,5.68,0
1982,23.13,6.29,0
1982,23.02,6.29,0
1982,24.05,6.71,0
1982,23.72,7.63,0
1982,24.44,7.57,0
1982,23.32,5.43,0
1982,20.83,6.04,3.98
1982,22.26,7.08,0.02
1982,23.72,4.64,0
1982,24.48,4.21,0
1982,19.97,5.43,0.01
1982,15.48,5.25,0.1
1982,16.3,4.76,0.2
1982,16.62,4.7,0.17
1982,19.26,4.58,0.01
1982,21.9,4.94,0.01
1982,22.1,4.82,0
1982,22.18,5.13,0
1982,25.99,4.94,0
1982,27.08,5.74,0
1982,23.83,5.37,0
1982,23.32,4.46,0
1982,25.62,3.91,0
1982,25.73,5.49,0
1982,25.98,6.1,0
1982,27,5.8,0
1982,28.91,5.55,0
1982,27.8,5.98,0
1982,25.44,6.77,0.03
1982,22.68,7.26,0
1982,22.71,5.74,0
1982,21.62,5.31,0
1982,23.02,4.76,0
1982,23.99,4.09,0
1982,23.83,4.58,0
1982,22.57,4.88,0
1982,23.07,4.27,0
1982,24.19,4.03,0
1982,23.09,3.91,0
1982,23.05,3.54,0
1982,22.22,4.27,0
1982,23.37,4.46,0
1982,26.51,4.46,0
1982,26.59,5.07,0
1982,27.31,5.55,0
1982,26.12,5.68,0
1982,24.65,5.68,0
1982,25.41,6.23,0
1982,29.39,6.35,0
1982,30.3,6.53,0
1982,28.38,6.96,0.01
1982,26.98,7.39,0.06
1982,29.21,7.57,0
1982,29.39,7.02,0
1982,28.23,6.16,0
1982,28.44,6.16,0
1982,28.98,6.23,0
1982,29.57,6.41,0
1982,29.99,5.62,0
1982,30.71,5.55,0
1982,30.76,6.53,0
1982,28.93,7.08,0
1982,26.05,5.49,0
1982,23.46,5.25,0
1982,25.3,6.1,0
1982,27.3,5.98,0
1982,27.89,5.92,0
1982,27.47,5.62,0
1982,25.95,5.62,0
1982,27.4,6.47,0
1982,28.55,8.3,0
1982,29.56,6.65,0
1982,29.65,5.31,0
1982,31.44,4.94,0
1982,31.5,5.13,0
1982,33.34,4.7,0
1982,33.23,4.64,0
1982,32.32,5,0
1982,31.44,5.31,0
1982,31.48,5,0
1982,31.34,5.13,0
1982,32.55,5.92,0.03
1982,33.64,5.68,0
1982,34.35,5.8,0
1982,35.12,6.35,0.24
1982,34.24,9.95,0.01
1982,33.2,12.08,0.22
1982,34.46,10.5,1.41
1982,31.23,12.33,4.71
1982,30.56,14.28,2.02
1982,31.51,12.7,0.02
1982,33.15,8.61,0
1982,34.96,9.52,0
1982,35.79,9.77,0.25
1982,34.87,9.4,0
1982,32.47,11.11,0
1982,31.94,6.41,0
1982,29.56,3.6,0
1982,30.64,4.88,0
1982,33.04,6.35,0.06
1982,33.58,8.85,0.07
1982,34.47,8.06,0
1982,34.51,5.49,0
1982,34.06,5.31,0
1982,34.33,5.92,0
1982,28.92,11.35,2.09
1982,27.98,14.47,0.19
1982,30.4,12.7,0.12
1982,31.83,7.75,0
1982,31.74,6.35,0
1982,32.38,6.9,0.06
1982,32.95,7.57,0.13
1982,32.81,7.57,0.01
1982,34.38,8.54,0.17
1982,35.57,9.46,0.21
1982,34.25,13.43,2.61
1982,34.65,13.49,1.36
1982,30.34,12.63,1.23
1982,27.51,12.76,4.06
1982,28.51,13.18,2.38
1982,29.39,12.57,0.07
1982,30.31,12.15,0.05
1982,31.05,9.95,0
1982,30.4,7.39,0
1982,30.27,6.47,0
1982,31.79,5.92,0
1982,33.16,5.8,0
1982,35.01,5.37,0
1982,34.44,5.8,0
1982,31.71,8.54,0
1982,33.46,9.7,0
1982,34.33,8.36,1
1982,31.47,10.62,9.75
1982,26.08,14.71,0.61
1982,28.58,12.33,0.04
1982,26.57,10.13,0
1982,24.11,7.51,0
1982,24.25,4.33,0.02
1982,23.23,6.1,0
1982,24.08,6.96,0
1982,22.23,7.87,0.8
1982,20.35,8.12,1.97
1982,22.69,8.42,0.79
1982,25.87,10.74,0.01
1982,26.48,9.22,0
1982,26.88,5.98,0
1982,28.98,5.55,0
1982,30.48,6.41,0
1982,31.49,7.57,0
1982,31.42,10.38,0
1982,30.33,11.6,0.52
1982,25.19,11.54,0.85
1982,20.02,6.29,0.12
1982,20.14,5.25,0
1982,19.48,5.98,0
1982,18.48,3.6,0
1982,19.45,3.36,0
1982,21.39,3.42,0
1982,22.9,3.66,0
1982,22.94,4.7,0
1982,20.68,4.52,0
1982,22.37,3.17,0
1982,20.65,3.72,0
1982,18.77,2.5,0
1982,18.09,2.56,0
1982,17.41,2.5,0
1982,18.33,2.38,0
1982,19.27,2.5,0
1982,19.88,3.23,0
1982,20.9,3.42,0
1982,21.68,3.42,0
1982,23.12,3.17,0
1982,23.24,3.05,0
1982,22.31,3.97,0
1982,21.47,2.81,0
1982,21.3,2.87,0
1982,21.84,4.21,0
1982,22.73,4.21,0
1982,22.87,4.33,0
1982,22.69,6.47,0.02
1982,22.77,8.06,0.39
1982,18.69,8.97,0.43
1982,15.34,3.23,0
1982,15.69,2.32,0
1982,17.56,2.5,0
1982,18.27,3.91,0.04
1982,17.29,5.92,0.01
1982,17.94,4.09,0
1982,15.88,2.26,0
1982,14.3,2.26,0
1982,14.96,1.95,0
1982,17.16,1.83,0
1982,15.94,2.01,0
1982,16.15,2.93,0.01
1982,14.05,6.53,0.6
1982,12.95,5.92,4.8
1982,10.46,6.04,2.14
1982,10,3.97,0
1982,10.53,3.17,0.15
1982,12.04,2.93,0
1982,12.32,2.87,0
1982,12.25,2.69,0
1982,12.81,3.05,0.01
1982,12.02,4.27,0.15
1982,12.07,6.04,0.9
1982,13.12,6.71,0.46
1982,12.05,4.7,0
1982,11.01,3.66,0
1982,10.84,3.54,0
1982,11.24,3.78,0
1982,11.45,4.33,0
1982,12.87,4.64,0
1982,12.26,3.42,0
1982,12.47,4.09,0
1982,12.98,5.31,0.2
1982,12.62,7.51,7.23
1982,12.34,6.96,7.97
1982,9.9,4.52,0.39
1982,8.72,2.93,0
1982,9.9,3.17,0
1982,11.73,4.58,0
1982,12.75,4.33,0
1982,12.72,4.64,0.02
1982,12.26,4.52,8.83
1982,11.94,7.51,25.52
1982,11.41,6.96,15.72
1982,11.62,6.65,2.26
1982,11.26,5.8,0
1982,11.22,5.07,0
1982,10.58,4.52,0
1982,10.02,3.11,0
1982,9.72,3.17,0
1982,10.59,3.17,0
1982,11.38,3.17,0
1982,11.12,4.27,0
1982,10.57,3.66,0
1982,11.42,3.66,0
1982,11.44,5.49,0.16
1982,12.9,7.81,4.72
1982,9.69,4.64,1.29
1982,6.76,2.38,0
1982,5.99,2.32,0
1982,5.9,2.62,0
1982,7.99,2.75,0
1982,6.87,2.26,0.13
1982,3.49,3.66,1.06
1982,4.23,2.44,0.05
1982,4.33,2.14,0
1983,4.3,2.38,0
1983,5.49,2.44,0
1983,7.52,2.81,0
1983,9.36,3.17,0
1983,10.95,4.09,0
1983,11.6,4.52,0
1983,12.86,4.7,0
1983,13.62,4.58,0
1983,12.57,3.3,0
1983,11.67,3.23,0
1983,12.18,3.54,0
1983,12.03,3.6,0
1983,13.03,4.03,0
1983,12.46,3.54,0
1983,13.23,4.39,0
1983,13.8,5.37,0
1983,11.56,5.37,0
1983,11.81,5,0.29
1983,10.2,4.88,0.61
1983,8.35,3.3,0
1983,7.51,3.11,0.06
1983,8.15,4.03,0.21
1983,9.58,5.86,0.63
1983,10.89,6.47,0.56
1983,11.61,5,0.01
1983,12.02,4.27,0.27
1983,10.34,6.16,6.4
1983,9.08,5.13,0.3
1983,10.09,5.43,7.55
1983,8.87,4.33,0.02
1983,8.51,3.36,0
1983,8.8,2.93,0.01
1983,5.17,4.21,23.46
1983,7.99,5.62,1.49
1983,8.67,5.31,0.42
1983,10.33,5.62,1.12
1983,10.94,6.1,1.06
1983,11.48,7.02,1.67
1983,11.71,6.41,0.98
1983,10.77,5,0
1983,12.4,4.46,0
1983,14.2,4.15,0
1983,14.16,4.21,0
1983,12.8,5.13,0.02
1983,11.82,3.78,0
1983,13.19,3.78,0
1983,13.93,4.76,0
1983,16.07,4.33,0
1983,14.14,5.25,0
1983,12.31,3.91,0
1983,12.94,3.36,0
1983,14.63,3.85,0
1983,16.2,4.21,0
1983,15.05,5,0.15
1983,11.56,6.04,2.84
1983,11.57,5.43,0.82
1983,10.78,6.65,2.98
1983,13.16,8.3,3.47
1983,14.76,7.63,3.32
1983,13.08,7.63,13.26
1983,12.65,8.91,43.24
1983,10.32,7.14,2.75
1983,11.82,6.23,0.29
1983,11.85,5.92,0.13
1983,14.09,7.08,0.24
1983,14.82,7.02,0
1983,15.76,6.59,0
1983,18.53,6.23,0
1983,17.76,7.45,0
1983,15.93,7.08,0
1983,16.05,5.98,0
1983,16.18,7.45,0.07
1983,14.94,6.29,0.22
1983,12.33,4.21,0
1983,12.65,3.91,0.02
1983,12.45,6.23,3.47
1983,10.53,6.41,2.62
1983,12.57,5.37,0.15
1983,11.23,5.68,1.44
1983,11.14,5.8,1.39
1983,11.78,5.8,0.26
1983,12.78,5.19,0.86
1983,11.48,5.55,5
1983,11.56,4.64,0.12
1983,12.52,4.64,0
1983,13.62,5.49,0.01
1983,13.62,6.16,0.03
1983,15.87,5.68,0
1983,19.24,6.96,0
1983,18.96,6.35,0
1983,17.3,4.21,0
1983,18.1,5.62,0
1983,13.94,3.85,0
1983,11.06,3.17,0
1983,12.08,3.23,0.01
1983,13.14,3.6,0
1983,12.9,3.3,0
1983,14.44,4.09,0
1983,14.56,5.31,0
1983,13.82,4.82,0.27
1983,11.67,4.82,0.63
1983,9.94,4.33,0.39
1983,12.06,4.09,0.01
1983,14.07,3.91,0
1983,16.27,3.66,0
1983,18.99,3.6,0
1983,18.44,4.88,0.07
1983,16,6.65,0.7
1983,15.62,5.37,0.02
1983,14.57,6.77,3.06
1983,15.41,6.84,0.33
1983,17.04,6.59,0.14
1983,18.33,6.47,0
1983,16.56,5.62,0.01
1983,16.06,5.19,0
1983,15.93,5.55,0
1983,17.3,5.37,0
1983,17.9,6.47,0.26
1983,16.8,7.75,2
1983,15.26,5.98,0.61
1983,13.73,5.43,0.23
1983,17.3,5.62,0
1983,19.9,5.92,0
1983,18.87,5.37,0
1983,15.9,5.37,0.02
1983,17.8,5.13,0.02
1983,20.87,5.07,0
1983,21.7,6.04,0
1983,20.35,5.49,0
1983,18.05,5.13,0
1983,17.14,3.66,0
1983,19.27,4.64,0
1983,19.27,5.62,0
1983,21.12,5.8,0
1983,21.45,5.92,0
1983,19.73,4.7,0
1983,20.3,4.21,0
1983,23.25,5.07,0
1983,24.31,5.8,0
1983,24.28,5.25,0
1983,26,6.59,0
1983,26.84,7.87,0
1983,29.05,7.57,0
1983,28.86,6.71,0
1983,29.4,6.9,0
1983,29.1,7.32,0
1983,30.84,7.75,0
1983,31.73,7.02,0
1983,31.05,5.62,0
1983,29.3,6.9,0
1983,24.93,6.47,0
1983,19.58,5.86,0
1983,19.77,5.68,0
1983,21.98,5.92,0
1983,24.58,6.47,0
1983,27.42,6.41,0
1983,30.2,6.29,0
1983,29.83,7.2,0
1983,27.33,6.47,0
1983,27.47,6.9,0
1983,28.94,7.08,0
1983,25.34,7.2,0
1983,25.22,5.62,0
1983,27.6,3.78,0
1983,28.59,3.36,0
1983,29.94,4.94,0
1983,29.59,5.86,0
1983,30.23,6.35,0
1983,29.44,6.9,0
1983,27.68,5.74,0
1983,27,5.55,0
1983,27.1,5.19,0
1983,28.54,4.39,0
1983,28.83,4.21,0
1983,28.59,4.82,0
1983,28.58,5.68,0
1983,27.62,6.23,0
